Index,Group,Folder,AddedC_Index,AddedC_X,AddedC_Y,AddedC_Z,Nb,Hf,Ti,Ta,Zr,C,Eads
1,bridge,01,160,0.8879746551821833,6.536986917559881,14.090377687670495,0,0,0,1,0,1,1.982
2,bridge,02,160,4.522645088269101,16.345702123802006,13.911253487859115,0,0,0,1,1,1,-0.352
3,bridge,03,160,5.815574582071226,9.81403173345244,13.654272077717192,1,0,0,0,1,1,0.884
4,bridge,04,160,4.327015502366759,6.6209657484989375,13.680006384279519,1,2,0,1,0,1,1.932
5,bridge,05,160,6.394333340424478,4.001299645859755,13.732297277215299,0,2,1,0,0,1,1.500
6,bridge,06,160,3.097252271412921,9.860532910181117,13.583025982474334,1,0,1,0,0,1,1.243
7,bridge,07,160,4.5293397612847235,16.351540784437233,13.888602616675996,0,0,0,1,1,1,-0.353
8,bridge,08,160,0.03550111271015454,19.558203724988964,13.845237018348833,0,0,0,1,0,1,2.196
9,bridge,09,160,4.334411140818249,6.623868572203171,13.693240355117789,1,2,0,1,0,1,1.930
10,bridge,10,160,2.869237195859574,3.658362689850944,13.68492367715982,1,1,0,0,0,1,1.378
11,bridge,11,160,8.931553976484333,16.31797629994234,13.7399662800494,0,0,1,0,1,0,-0.353
12,bridge,12,160,2.197538877618261,10.143361363681214,14.66611255763911,0,0,1,0,0,1,4.945
13,bridge,13,160,0.26570435819599353,10.989206585711203,13.726774005092985,0,0,1,0,0,1,0.837
14,bridge,14,160,6.149465424361168,3.699174933698855,13.669043070610748,0,1,1,0,0,1,1.483
15,bridge,15,160,4.359756994089851,11.036834946185976,12.629772153890219,2,0,1,0,1,1,0.442
16,bridge,16,160,4.3374763491653185,6.6244816044878725,13.694543713066814,1,2,0,1,0,1,1.929
17,bridge,17,160,6.473442240221693,0.5724009083440895,13.665219790681036,0,0,1,0,0,1,1.235
18,bridge,18,160,5.818267396673622,9.81484997991815,13.642234178052648,1,0,0,0,1,1,0.882
19,bridge,19,160,5.816469406483502,9.818004300661899,13.631789714316293,1,0,0,0,1,1,0.881
20,bridge,20,160,4.488536434479597,2.238432319989521,12.663174437940189,1,1,1,0,1,0,-0.682
21,bridge,21,160,6.1469987051777935,3.6986853252134213,13.676887459297912,0,1,1,0,0,1,1.481
22,bridge,22,160,7.353831719859894,8.870283268514134,14.131834902104854,0,1,0,0,1,1,1.428
